Var1;Var2_1;Var2_2;Var2_3;Var2_4;Var2_5;Var2_6;Var2_7;Var2_8
1;10;0;0;0;0;0;0;10
2;13.243824072543;0.443720470101441;0.00831767681069653;0.000107359871565039;1.05370348008945e-06;4.16631621207571e-09;3.67400870686358e-09;8.86403665048969
3;14.9880984812228;0.858993288693681;0.0293390886239445;0.000705325357131542;1.30229169412763e-05;9.73874796266355e-08;7.78323602974158e-08;7.53846932441473
4;17.4880580401528;1.52011858786553;0.0797241462062797;0.00297545811302351;8.59305612348342e-05;1.01008913538485e-06;7.1493807765872e-07;7.04503856263582
5;20.6915373134423;2.52192967083022;0.186147783863265;0.00982046347008636;0.00040238114515063;6.73031027222653e-06;4.28724502385594e-06;6.95179889124836
6;23.8191864371941;3.68377234555293;0.349541378956576;0.0237966258830626;0.00126080974502339;2.73109369026014e-05;1.56567735315688e-05;6.86326603284042
7;26.6851905815263;4.92918994373888;0.566737431935877;0.0469605890416298;0.00303416956140085;8.02397398917354e-05;4.16542391438095e-05;6.7308243923421
8;28.0218326732784;5.80548377685075;0.765156035824134;0.0730540449811783;0.00544901073646013;0.000166514576686159;7.87927477074044e-05;6.28476185224222
9;29.8506224747136;6.95477755048482;1.03946012206149;0.113152688582035;0.00964573332927653;0.000337261629887801;0.000148203963396634;6.02712178082132
10;30.7737614991404;7.86840627905783;1.3042328413529;0.15814757581919;0.015050157886555;0.000588143839245159;0.000240462681132827;5.65002963008339
11;31.1437760796535;8.63560692407224;1.56605760826671;0.208594056019409;0.0218506654273727;0.000940993360264114;0.000360977852163645;5.24265533652884
12;31.1114416312206;9.28206291391544;1.82377008593952;0.26414410091054;0.0301455862960024;0.00141594873817367;0.000512608110312716;4.83543686220832
13;32.2313264195297;10.4656493444386;2.23323491715103;0.352315585579542;0.0438840864083138;0.00225240453962269;0.00077464945900265;4.65283400152028
14;34.5770718998569;12.4078605363185;2.89572148193389;0.500270000301505;0.0683640651174489;0.00385457224817633;0.00129227889499412;4.66018093806306
15;37.3049953953076;14.9251124828454;3.83079030066922;0.727232024025228;0.109338493102411;0.0067908099048009;0.00227408633492382;4.71577226237374
16;36.129905165111;15.1065965631308;4.10635372191737;0.825360337576384;0.131437767513631;0.00865175966123519;0.0025644177427311;4.30084687369959
17;27.9720085469322;11.781519077402;3.31121487211575;0.688856409365666;0.113568833261977;0.00774161683770392;0.00242847675258566;3.14626966935641
18;28.3779257043466;12.6833596194875;3.77301938563255;0.83299690571584;0.145834219005577;0.0105616303400882;0.00292924092626296;3.02643270452566
19;28.5100805633807;13.4448269132954;4.21657452802565;0.983214315739948;0.181936130119118;0.0139328857299944;0.00361078602614231;2.89143606221494
20;26.3602104992268;12.8549014929414;4.20050165968977;1.02198436867245;0.197442753107661;0.0157923630576418;0.00392585528653015;2.54898042959895
21;23.7381452574652;11.9183196183906;4.04079514414816;1.02176218879264;0.205285608273371;0.0170814761431125;0.00413266817993165;2.19400348189375
22;22.5480890134718;11.7624835281398;4.14987955015759;1.09401058746879;0.229331244841002;0.019917496715166;0.00461194427278508;1.99685716275269
23;21.6751074747454;11.7640025828265;4.31759081485979;1.1860120991662;0.259264619551581;0.0234914204237841;0.00523922129461392;1.84352584785625
24;19.8301707588924;11.0915133239545;4.21129882448805;1.1983584652072;0.271565418297594;0.0255176232361217;0.00554889403204104;1.62310139365804
25;18.3200484349217;10.5716853278689;4.15039520714287;1.22283960350676;0.287131632210565;0.0279668034931161;0.005901912629646;1.44609488035325
26;18.0609612134932;10.8707677948878;4.43339812414178;1.35859344704214;0.332072380189291;0.0336844866468635;0.00688436697795178;1.378208160107
27;18.4720508562959;11.6849519147821;4.96907877440169;1.58886615761446;0.405559505482741;0.0429836365514492;0.00867062647151062;1.36623581814787
28;18.3165352789888;12.0501973767273;5.31662500362394;1.7640118383179;0.467517764172248;0.0514723158911132;0.00993433597935134;1.31593521481846
29;18.1511149425607;12.397340189784;5.66860506656523;1.94911535195322;0.53561586091316;0.0611692673491167;0.0114064070523604;1.26964798629006
30;15.325707543318;10.6241321663443;4.97500863720251;1.75218323960555;0.493343884551678;0.0577434967895119;0.0108237198838894;1.04442327563176
31;9.99430380094199;6.89905421786676;3.27470308308441;1.169612213944;0.334018811100276;0.0396597939039295;0.00926856294256223;0.66334153295653
32;7.96513537840769;5.55869907157974;2.69025187439322;0.980873569100312;0.286032167255922;0.0346868109416964;0.00750308136319846;0.517417353257079
33;7.02336245465184;5.00410257758237;2.47848946674149;0.926248627571406;0.27696489983591;0.0344496803095302;0.00657375294877593;0.447636256560622
34;6.71095879538201;4.92864634234055;2.50825334214531;0.96470861948912;0.297039588878663;0.0380568681234795;0.00661300190159521;0.42068574617922
35;6.82203382164248;5.21882148383119;2.74275405756863;1.09075832573491;0.347504437471267;0.0460848937933822;0.00777758480378044;0.422106338593308
36;6.81276914874026;5.39427692679817;2.92062330724594;1.1973148295091;0.393454583418185;0.0538397879488194;0.00872683217554348;0.4171695756031
37;6.75030346255857;5.51392977171191;3.07160747665057;1.29595683408785;0.438529652011482;0.0618130079566109;0.00968627843739532;0.410184271713241
38;6.91952257078472;5.8654224979261;3.3720803896339;1.46834614701136;0.513057322398638;0.0747032413309026;0.0116967252616579;0.419258763158226
39;7.00774724825825;6.13121785460766;3.62981928394423;1.62729992836151;0.58563810893168;0.0878565047086201;0.0133177359293385;0.424905011072778
40;7.30230391010608;6.65243985704808;4.07471126849534;1.8890358040555;0.703262397888134;0.109178512144171;0.0171502867993149;0.446141073085933
41;7.60368655645658;7.22399303397506;4.58533536077461;2.20094698234321;0.848567137492243;0.136475910536413;0.0220616271249033;0.471901742720841
42;7.82338590659111;7.76468997554706;5.11683343228751;2.54676367535908;1.01825645300733;0.169884840938193;0.0286501158203569;0.497879281368127
43;8.04058291513371;8.30773028147104;5.67961086631794;2.92871125227368;1.2130917076841;0.209723372471772;0.03523428317108;0.529647782740819
44;8.37730615772927;8.93974633963636;6.3196015376176;3.36575144589306;1.4396815251015;0.257075498403907;0.0403078285339637;0.574420438182194
45;8.43164392673447;9.33562344655381;6.84475476964742;3.77693440399312;1.67341766107816;0.309551760240002;0.0520253765957295;0.606526642241792
46;8.6963028105174;9.90951980153093;7.51025340710816;4.28067899026842;1.95855092693649;0.374151612463741;0.059336917336225;0.66215806903459
47;9.06343564630322;10.5664262568514;8.25746868823594;4.85198789285987;2.28793339795762;0.450469079358455;0.0670424445891934;0.731513419274626
48;9.46968011261493;11.2537128038946;9.05515662445235;5.48002126344114;2.66088605549806;0.539464495124497;0.0773474902843162;0.810968810448108
49;9.83629062116131;11.896396574544;9.85102709325055;6.14066627488093;3.07077703632648;0.641151517583556;0.0919447760641583;0.896567490152619
50;10.0219982328059;12.330318586454;10.5088301333644;6.75220077926735;3.4803850595688;0.748986356446006;0.111766927361428;0.977845346675129
51;10.550910897706;13.0828469878039;11.4316786897641;7.54539382097397;3.99572917777657;0.883417277211832;0.12092883864946;1.10344588968818
52;11.2410527336094;13.8930329322211;12.3864001523211;8.36236211763826;4.53060869657766;1.02480207123111;0.123117884297881;1.24487916735968
53;12.0017058610955;14.8151403073247;13.4810084505438;9.32240339889141;5.17567822373758;1.19970917049312;0.143868727935735;1.40099357534598
54;12.7074326865697;15.677189295929;14.5554359705447;10.3168064720469;5.87495489517276;1.39691154597127;0.17347525820579;1.56819018428903
55;13.6753181509578;16.6763109516521;15.7303031135279;11.3805895184233;6.6204268300786;1.60829467869768;0.180233607202165;1.7746532318275
56;14.7457382822466;17.8040963644096;17.0547774226556;12.6048056379299;7.49911431642795;1.86349340363577;0.208842412351634;2.00273345432509
57;15.5394447188004;18.6524529737625;18.1472773791794;13.7222680432862;8.36590083367917;2.13098381499084;0.259198077512344;2.21804990477895
58;15.8173636110538;18.8994297072841;18.6668594522623;14.4487139135562;9.035635316364;2.36194499421819;0.315551204976497;2.38966614665482
59;16.8817398499053;19.8925779467014;19.8897054569806;15.7123617192332;10.0505650716718;2.68880616821768;0.330642561823499;2.70117835668643
60;18.518292570019;21.2748803637445;21.4596490162521;17.2390188828763;11.2378311664234;3.06564639680333;0.324931922230241;3.08395163384741
61;20.2095581736634;22.4999204499941;22.8342098314857;18.6116098640226;12.3374948617616;3.42455569199298;0.32682955021995;3.44104486794741
62;22.2000991446809;24.1522307281168;24.6351397332458;20.4026154455438;13.7826553086292;3.90185021330717;0.386110800737271;3.85892946710944
63;23.9265932385075;25.5776916532887;26.1892621476027;22.0483337365399;15.1961714410834;4.3938161437253;0.46997360429536;4.26808592071057
64;25.3264600832745;26.6569560750446;27.3643787433473;23.4074680941774;16.4627362319693;4.86363852751321;0.552752490131956;4.66059737813319
65;27.0943398883894;27.9986928877187;28.7744606141681;24.9718708680363;17.9023055369296;5.3990654638241;0.606262099416407;5.14818175695491
66;26.2541640526024;26.8646791462262;27.6105990730466;24.3235836983615;17.8040927765524;5.49287309158226;0.735561924352909;5.15166881086274
67;26.7090036524102;26.8933460396236;27.613061007067;24.6439537959689;18.3844679094065;5.79281693291959;0.752452651364772;5.46217345104985
68;28.083047943955;27.6783992397773;28.3528747142748;25.5914279022912;19.4267322712312;6.24282627959914;0.750247562681813;5.93110280529957
69;29.9435038841969;28.820166021825;29.4079808285777;26.8081376211828;20.6843325596493;6.77251678376805;0.765384179600164;6.45849494945605
70;33.6282230194682;31.0313149697819;31.5113546806652;28.9210699626437;22.5822263453701;7.49771516565885;0.67115891018607;7.27560481651575
71;37.8252021523578;33.7541573265104;34.0187649629325;31.4246474624788;24.8421023559266;8.37010283904683;0.712275487798951;8.10417227323746
72;41.1613744231816;35.1244553688318;35.1213650560568;32.5866738318276;26.0036042801528;8.86152526912963;0.671163324204745;8.64152639292629
73;46.1563145174831;38.3696742980558;37.9187223811103;35.3400751340926;28.5135828742584;9.85010279455292;0.771474217829311;9.52658287735419
74;51.401043751407;42.0108292423173;40.9585160114695;38.3119503536077;31.2606126472765;10.9539183450545;0.904603205673944;10.4948008544666
75;56.8232793919333;45.8877483567955;44.1056282882285;41.3585247047108;34.1154672926662;12.1256432379322;1.03617113761325;11.5351001377823
76;60.796445768339;48.9534609823002;46.3495938774219;43.5215018233474;36.2961328075087;13.0951047513104;1.22493602236187;12.3380906845614
77;59.9024293253558;48.5803166963451;45.3092051890321;42.5463572621583;35.8787134746989;13.151721409345;1.4670613979519;12.2507345930103
