Var1;Var2_1;Var2_2;Var2_3;Var2_4;Var2_5;Var2_6;Var2_7;Var2_8
1;0;0;0;0;0;0;0;2650000
2;289604.308174346;4196.29311314052;40.535483288437;0.293674445717658;0.00170210735032091;4.11051743728301e-06;3.84881128721954e-06;2005995.56513348
3;413970.310443527;11027.1007108288;198.776026393455;2.70702566377642;0.0295954970924821;0.000135041466007803;0.000121796826788376;1433719.36020974
4;444538.386307484;17504.2418800601;463.430355701636;9.2558321782342;0.148463362433564;0.000994752313948879;0.000856531805309566;1026391.30530396
5;480682.427485212;28186.2689027834;1069.64402357896;30.2573151269309;0.684712366736053;0.00646500809263158;0.00495708505493489;832383.007347563
6;503890.271085332;39797.1431162848;2016.54198316542;75.5738591212792;2.25451824213615;0.0279828989851592;0.0196649322742123;698057.062171478
7;498470.231939037;48522.9518466559;3052.80133942415;141.837045608214;5.23214956082219;0.0801316721721588;0.0527649649109685;575457.098302518
8;483576.321568538;56069.5544594341;4219.28934595352;234.63465207079;10.3511854405301;0.189370415646006;0.116382192224454;478511.09578365
9;470011.646090563;63853.178490148;5628.08809971361;366.823732417012;18.9655816960319;0.406421374333623;0.231875483816727;406952.562528392
10;486259.865450707;78809.1196366622;8175.02947588605;626.132352503161;38.0354756225269;0.95745197235291;0.499323525395771;374241.038008102
11;509274.292437433;96829.4941074962;11683.2864943146;1037.8501257496;73.0639370446835;2.13086477126398;1.02953888067983;352758.941874158
12;546826.717367025;121530.171093841;16983.5978960876;1741.59522272476;141.353262501772;4.75033806600479;2.14860081008728;344338.109257607
13;483445.699051284;113879.769276507;17287.2640345372;1925.71806873011;169.656310216754;6.18629738092537;2.72519909716094;279059.598231016
14;404681.844525333;99739.5202726755;16188.7907233944;1933.03907983123;182.510785850991;7.12982941534752;3.12177469255662;215627.594737879
15;299952.710197438;75582.513256103;12870.3217184793;1617.99924712966;160.882365524003;6.61776774119686;3.13182519844333;148409.914199562
16;164574.155791399;40679.6516989403;7083.29462519427;913.400166222141;93.1910220502634;3.9331916215887;2.86352225606892;75999.6912694333
17;120615.844748492;30742.7605253927;5567.77866250751;752.130372491859;80.4824596238071;3.56283309360604;2.25371590010401;52219.8699508994
18;90991.1595311831;24081.3142778818;4538.65059054026;642.247090952601;72.1198804507842;3.35136349783602;1.83930838910192;37077.7541369544
19;73043.012430986;20321.4189302825;4001.38374169411;594.940236815407;70.36185724634;3.44569198286036;1.59429329179083;28111.496172381
20;59396.5080278098;17390.337084487;3578.08972402927;558.123785424541;69.417364548187;3.57807428305778;1.47048547380997;21657.2081059339
21;46303.9136899176;14131.785960961;3024.49041299654;491.985878205974;63.9461532111399;3.44758216645108;1.36470367173267;16039.9438825444
22;29486.4849713044;9101.50945410904;1997.22433635407;333.699701862128;44.6067557080919;2.4749187604654;1.19333494441232;9728.3083267874
23;18977.783214023;5943.20270421784;1336.33662774546;229.30276821784;31.5189594807213;1.7994544732834;0.974173789204982;5977.00555132989
24;14017.0539923155;4545.20346050941;1054.52459023239;187.227931921641;26.6734160461748;1.57974396760316;0.758614730172002;4223.11613170012
25;10608.935686884;3573.24157609167;856.282292286505;157.362340693127;23.2436169920406;1.42864511496998;0.610875224870709;3063.47165065069
26;9171.26481583177;3278.76529116909;819.439569632857;157.235994317825;24.2965287702459;1.56420288692449;0.541924213237448;2542.77024310854
27;7957.58550297762;3010.47411884128;784.870340623352;157.030637501356;25.3389517954307;1.70554998518281;0.525889044732622;2121.76808506504
28;7076.2744053658;2836.37314018824;772.821575208591;161.328278502914;27.1915774266192;1.91389497207432;0.544313534157017;1817.27103681849
29;5434.92173035947;2248.69514449507;632.671688980471;136.186647605524;23.6809776674258;1.7208428338845;0.511356994861344;1346.18041025876
30;4349.68371423636;1866.57202862117;543.24356559517;120.797645442504;21.7053513650834;1.63097319066118;0.47348217050599;1040.51016596545
31;3731.95307357843;1675.79331048077;506.645881807123;116.833558704691;21.7736408567713;1.6980263239191;0.458258696751325;863.291051902446
32;1990.25440488311;889.609867679807;272.567965942781;63.6741399288694;12.0212659055615;0.949888596488609;0.408710472978607;445.625441583875
33;1655.82945157703;770.476112674757;244.086494701782;58.9264143670679;11.4962319082266;0.939124718474274;0.312122204606916;359.392640613889
34;1444.13363998189;703.113623091834;230.964035138734;57.7542634113029;11.6694378739031;0.987631476389775;0.271496720048065;304.148270023081
35;1249.53880134289;634.396458916586;215.819114087226;55.8122360753415;11.6600195801919;1.02060919097833;0.254536620317948;255.602856573546
36;950.466642460303;494.58183522223;172.753018370952;45.821271181828;9.81603401842854;0.881160486800073;0.227444873449976;188.996796931249
